Driver,Critical_event,Critical_event_order_exposure,Sequence_exposure_critical_events,Crash_other_vehicle,Crash_guardrail,Steer_to,Steer_onset_time,Brake_onset_time,Foot_on_pedal_time,Hand_on_wheel_time,Intervention_type
0,A,3,CBA,FALSE,TRUE,Right,2.8,,0.8,0.8,Steer
1,A,1,ABC,FALSE,FALSE,Left,4.7,3.7,0.7,0.8,Both
2,A,1,ACB,FALSE,FALSE,Left,5.7,2.7,0.6,0.7,Both
3,A,2,BAC,FALSE,FALSE,Right,1.8,4.5,0.3,0.4,Both
4,A,2,BAC,FALSE,FALSE,Right,2.8,,0.4,0.5,Steer
6,A,2,CAB,FALSE,FALSE,None,,3.3,0.8,2.3,Brake
7,A,2,CAB,FALSE,FALSE,Right,4.3,3.9,0.6,0.8,Both
8,A,3,CBA,FALSE,FALSE,Right,3.8,3.6,0.5,0.6,Both
9,A,1,ABC,FALSE,FALSE,Right,4.3,3.4,0.7,2.7,Both
11,A,2,BAC,FALSE,FALSE,Right,2.8,,0.6,0.5,Steer
12,A,3,BCA,TRUE,FALSE,None,,3.7,3,2.9,Brake
13,A,2,CAB,FALSE,FALSE,Left,5.4,2.8,0.5,0.4,Both
14,A,3,CBA,FALSE,FALSE,Right,2.6,3.7,0.3,0.3,Both
15,A,1,ABC,FALSE,FALSE,Right,4.1,3.4,0.7,1.1,Both
17,A,2,BAC,FALSE,FALSE,Right,2.3,,0.4,0.4,Steer
18,A,3,BCA,FALSE,FALSE,Right,3.7,3.6,0.4,0.4,Both
19,A,2,CAB,FALSE,FALSE,None,,1.6,0.5,0.5,Brake
21,A,1,ABC,FALSE,FALSE,None,,1.1,0.6,0.5,Brake
22,A,1,ACB,TRUE,FALSE,Right,5.3,3,0.7,0.7,Both
23,A,2,BAC,FALSE,FALSE,Right,2.7,,0.6,0.5,Steer
24,A,3,BCA,TRUE,FALSE,Right,4.4,3.9,0.5,0.8,Both
25,A,2,CAB,TRUE,FALSE,Right,5.5,3.9,0.5,0.7,Both
26,A,3,CBA,FALSE,FALSE,Right,4.5,4.5,1,1,Both
27,A,1,ABC,FALSE,FALSE,None,,2.9,0.8,0.9,Brake
28,A,1,ACB,FALSE,FALSE,Right,4.6,3.2,0.6,2.5,Both
29,A,2,BAC,FALSE,FALSE,Right,4.1,,0.6,0.7,Steer
30,A,3,BCA,FALSE,FALSE,Right,3.8,3.4,0.6,0.6,Both
32,A,3,CBA,FALSE,FALSE,Right,2.4,,0.4,0.5,Steer
33,A,1,ABC,FALSE,FALSE,Left,4.6,4.5,1.2,1.2,Both
34,A,1,ACB,FALSE,FALSE,Right,3.5,,0.6,0.8,Steer
35,A,2,BAC,FALSE,FALSE,Right,2.7,,1.2,0.9,Steer
37,A,2,CAB,FALSE,FALSE,Right,4.6,3.7,0.8,1,Both
38,A,3,CBA,FALSE,FALSE,Right,2.6,1.8,0.5,0.5,Both
39,A,1,ABC,FALSE,FALSE,Left,5.3,1.7,0.8,0.8,Both
40,A,1,ACB,TRUE,FALSE,None,,4.5,0.5,0.6,Brake
41,A,2,BAC,FALSE,FALSE,Right,2.1,,0.4,0.4,Steer
42,A,3,BCA,FALSE,TRUE,Left,4.7,2,0.5,0.6,Both
43,A,2,CAB,FALSE,FALSE,Right,4.1,3.3,0.1,0.6,Both
44,A,3,CBA,FALSE,FALSE,Right,2.6,4.5,0.4,0.4,Both
0,B,2,CBA,FALSE,FALSE,Right,4.1,,2.6,2.6,Steer
1,B,2,ABC,FALSE,FALSE,Right,2.8,,0.3,0.4,Steer
2,B,3,ACB,FALSE,FALSE,None,,1.4,0.5,0.4,Brake
4,B,1,BAC,FALSE,FALSE,Right,2.3,,0.5,0.7,Steer
6,B,3,CAB,FALSE,FALSE,Right,3.5,,0.8,0.9,Steer
7,B,3,CAB,TRUE,FALSE,Right,4.9,,0.7,0.7,Steer
8,B,2,CBA,FALSE,FALSE,Right,3.1,,0.6,0.5,Steer
9,B,2,ABC,FALSE,FALSE,Right,3,,0.8,0.9,Steer
10,B,3,ACB,FALSE,FALSE,Right,2.3,2.1,0.5,1.1,Both
11,B,1,BAC,FALSE,FALSE,Right,3.4,,2,1.3,Steer
12,B,1,BCA,FALSE,FALSE,Right,3.2,,0.8,1.8,Steer
13,B,3,CAB,FALSE,FALSE,Right,2.8,2.4,0.4,0.6,Both
14,B,2,CBA,FALSE,FALSE,Right,2.7,,1.3,0.6,Steer
15,B,2,ABC,FALSE,FALSE,Right,4.1,,0.7,1.3,Steer
16,B,3,ACB,FALSE,FALSE,Right,2.6,1.7,0.5,0.5,Both
18,B,1,BCA,FALSE,FALSE,Right,2.2,,0.5,0.4,Steer
19,B,3,CAB,FALSE,FALSE,Right,1.9,1.6,0.5,0.4,Both
20,B,2,CBA,FALSE,FALSE,Right,2.7,,0.8,0.8,Steer
21,B,2,ABC,FALSE,FALSE,None,,1.6,0.5,1.6,Brake
23,B,1,BAC,FALSE,FALSE,Right,2.7,2.6,0.5,0.4,Both
24,B,1,BCA,FALSE,FALSE,Right,3.8,4,0.7,0.5,Both
25,B,3,CAB,FALSE,FALSE,Right,2.3,,0.6,0.7,Steer
26,B,2,CBA,TRUE,FALSE,Right,6,,1,4.9,Steer
27,B,2,ABC,FALSE,FALSE,Left,4.3,1.5,0.8,0.7,Both
28,B,3,ACB,FALSE,FALSE,Right,3.3,,0.7,0.6,Steer
29,B,1,BAC,FALSE,FALSE,Right,3.8,,0.6,0.7,Steer
30,B,1,BCA,FALSE,FALSE,Right,3.3,,0.7,0.7,Steer
31,B,3,CAB,FALSE,FALSE,Right,3.5,2.8,0.6,0.5,Both
32,B,2,CBA,FALSE,FALSE,Right,2.5,,0.6,0.6,Steer
33,B,2,ABC,FALSE,FALSE,Right,4.2,,0.7,0.8,Steer
34,B,3,ACB,FALSE,FALSE,Right,2.5,,0.6,0.6,Steer
35,B,1,BAC,FALSE,FALSE,Right,2.6,,0.9,1.1,Steer
36,B,1,BCA,FALSE,FALSE,Right,3.1,,1.1,0.6,Steer
37,B,3,CAB,FALSE,FALSE,Right,3.3,,0.7,0.6,Steer
38,B,2,CBA,FALSE,FALSE,Right,2.6,,0.7,0.5,Steer
40,B,3,ACB,FALSE,FALSE,None,,1.4,0.6,0.7,Brake
41,B,1,BAC,FALSE,FALSE,Right,2.4,2.3,0.4,0.7,Both
42,B,1,BCA,FALSE,FALSE,Right,2.3,,0.5,0.3,Steer
43,B,3,CAB,FALSE,FALSE,Right,2.3,,0.4,0.5,Steer
44,B,2,CBA,FALSE,FALSE,Right,2.2,,0.9,0.4,Steer
0,C,1,CBA,FALSE,FALSE,Right,3.3,,0.7,0.7,Steer
1,C,3,ABC,FALSE,FALSE,None,,,0.4,0.7,None
2,C,2,ACB,FALSE,FALSE,None,,1.6,0.1,0.4,Brake
3,C,3,BAC,FALSE,FALSE,Right,2.1,,0.5,0.5,Steer
4,C,3,BAC,FALSE,FALSE,Right,2.6,,0.7,0.6,Steer
5,C,2,BCA,FALSE,FALSE,Right,3,,0.5,0.5,Steer
6,C,1,CAB,FALSE,FALSE,None,,,0.7,2.8,None
7,C,1,CAB,FALSE,FALSE,None,,,0.8,0.9,None
8,C,1,CBA,FALSE,FALSE,None,,,0.6,0.5,None
9,C,3,ABC,FALSE,FALSE,None,,,0.6,,None
10,C,2,ACB,FALSE,FALSE,None,,1.1,0.5,0.4,Brake
11,C,3,BAC,FALSE,FALSE,Right,2.5,,0.8,0.8,Steer
12,C,2,BCA,FALSE,FALSE,None,,,2.2,1.5,None
13,C,1,CAB,FALSE,FALSE,None,,,0.5,1.3,None
15,C,3,ABC,FALSE,FALSE,Right,3.4,,0.4,0.5,Steer
16,C,2,ACB,FALSE,FALSE,None,,1.6,0.4,0.3,Brake
17,C,3,BAC,FALSE,FALSE,Right,2,,0.5,0.1,Steer
18,C,2,BCA,FALSE,FALSE,Right,2.2,,0.3,0.4,Steer
19,C,1,CAB,FALSE,FALSE,Right,2.5,2.6,0.3,0.4,Both
20,C,1,CBA,FALSE,FALSE,Right,6.1,,0.8,0.8,Steer
21,C,3,ABC,FALSE,FALSE,None,,1.4,0.3,1.7,Brake
22,C,2,ACB,FALSE,FALSE,None,,5.9,0.6,0.6,Brake
23,C,3,BAC,FALSE,FALSE,Right,2.8,3.1,0.4,0.4,Both
24,C,2,BCA,FALSE,FALSE,None,,,0.7,1,None
25,C,1,CAB,FALSE,FALSE,None,,,0.7,0.8,None
26,C,1,CBA,FALSE,FALSE,None,,,0.8,1.2,None
27,C,3,ABC,FALSE,FALSE,Left,4.2,1.4,0.7,0.7,Both
28,C,2,ACB,FALSE,FALSE,Right,2.8,6.4,0.8,0.7,Both
29,C,3,BAC,FALSE,FALSE,None,,,0.4,0.4,None
30,C,2,BCA,FALSE,FALSE,Right,5.1,,0.7,0.6,Steer
32,C,1,CBA,FALSE,FALSE,Right,3.6,,0.5,0.6,Steer
33,C,3,ABC,FALSE,FALSE,None,,,0.7,0.8,None
34,C,2,ACB,FALSE,FALSE,Right,3,,0.1,0.5,Steer
35,C,3,BAC,FALSE,FALSE,Right,4.1,,,0.8,Steer
37,C,1,CAB,FALSE,FALSE,None,,,1.3,1.2,None
38,C,1,CBA,FALSE,FALSE,Right,4.2,1.6,0.5,0.7,Both
39,C,3,ABC,FALSE,FALSE,None,,1.2,0.5,0.5,Brake
40,C,2,ACB,FALSE,FALSE,None,,1.5,0.9,0.5,Brake
41,C,3,BAC,FALSE,FALSE,Right,2.1,,0.4,0.5,Steer
42,C,2,BCA,FALSE,FALSE,Right,1.8,,0.3,0.3,Steer
43,C,1,CAB,FALSE,FALSE,None,,1.2,0.6,0.6,Brake
44,C,1,CBA,FALSE,FALSE,None,,,0.7,0.3,None
